"STATION","DATE","PRCP","SNOW","TMAX","TSUN","WSFG"
"USW00094846","1958",,,,,
"USW00094846","1959","32.26","39.1","58.1",,
"USW00094846","1960","28.25","38.5","57.1",,
"USW00094846","1961","36.81","31.5","58.3",,
"USW00094846","1962","21.80","37.7","57.8",,
"USW00094846","1963","25.29","41.7","58.2",,"54.1"
"USW00094846","1964","29.77","40.9","59.8",,"72.5"
"USW00094846","1965","39.11","54.8","57.7",,"68.9"
"USW00094846","1966","32.04","31.1","58.7",,"49.4"
"USW00094846","1967","35.30","70.8","56.9",,"63.3"
"USW00094846","1968","31.76","27.6","59.8",,"55.3"
"USW00094846","1969","34.45","32.1","57.8",,"48.3"
"USW00094846","1970","43.43","38.0","58.6",,"54.1"
"USW00094846","1971","27.59","21.7","60.5",,"57.5"
"USW00094846","1972","45.51","47.8","56.0",,"52.8"
"USW00094846","1973","38.15","32.3","59.8",,"46.1"
"USW00094846","1974","35.41","29.0","58.2",,"55.3"
"USW00094846","1975","39.66","40.6","59.6",,"57.5"
"USW00094846","1976","26.58","23.1","59.0",,"48.3"
"USW00094846","1977","32.58","34.2","59.8",,"63.3"
"USW00094846","1978","37.38","75.0","56.8",,"51.7"
"USW00094846","1979","37.12","48.1","57.5",,"66.7"
"USW00094846","1980","38.69","51.5","58.0",,"75.8"
"USW00094846","1981","39.23","28.8","58.6","   145656","50.6"
"USW00094846","1982","44.70","53.4","57.7","   139410","62.2"
"USW00094846","1983","49.37","41.7","58.2","   152376",
"USW00094846","1984","34.04","38.2","58.2","   141808","68.9"
"USW00094846","1985","40.12","38.9","56.8",,
"USW00094846","1986","31.78","27.1","58.8","   149323","52.8"
"USW00094846","1987","41.39","41.8","61.6","   153754",
"USW00094846","1988","33.37","28.9","60.1","   177343",
"USW00094846","1989","29.50","34.5","57.6","   146641","57.5"
"USW00094846","1990","43.15","21.5","60.7","   147860","63.3"
"USW00094846","1991","35.05","29.2","60.8","   134509","83.9"
"USW00094846","1992","30.15","25.9","57.6","   129145","57.5"
"USW00094846","1993","44.96","42.2","57.1","   143302","55.3"
"USW00094846","1994","29.58","47.4","59.4","   162666","62.2"
"USW00094846","1995","32.91","30.9","58.9","   146008","52.8"
"USW00094846","1996","30.74",,"56.2",,
"USW00094846","1997","31.75",,"57.1",,
"USW00094846","1998","37.56",,"62.0",,
"USW00094846","1999","38.28","53.2","60.7",,
"USW00094846","2000","33.40","57.9","58.8",,
"USW00094846","2001","45.81","10.0","59.6",,
"USW00094846","2002","33.96","42.3","59.6",,
"USW00094846","2003","32.04","17.5","58.2",,
"USW00094846","2004","31.59","29.1","58.9",,
"USW00094846","2005","24.11","46.1","60.5",,
"USW00094846","2006","41.98","20.2","60.5",,
"USW00094846","2007","35.83","47.1","59.9",,
"USW00094846","2008","50.89","65.2","57.6",,
"USW00094846","2009","42.60","51.0","57.2",,
"USW00094846","2010","37.64","49.7","60.0",,
"USW00094846","2011","49.86","43.0","58.9",,
"USW00094846","2012","26.94","19.1","63.8",,
"USW00094846","2013","42.13","44.5","57.9",,
"USW00094846","2014","39.50","70.0","56.4",,
"USW00094846","2015","39.88","63.5","58.9",,
"USW00094846","2016","36.00","33.3","60.7",,
"USW00094846","2017","43.13","13.9","61.3",,
"USW00094846","2018","49.25","44.8","59.1",,
"USW00094846","2019","49.59","45.9","57.9",,
"USW00094846","2020","39.24","28.0","61.7",,
"USW00094846","2021","30.19","47.2","61.5",,
"USW00094846","2022","32.03","35.4","59.7",,
"USW00094846","2023","33.76","19.8","62.4",,
"USW00094846","2024",,,,,
"USW00023009","1949","14.85","16.5","74.4",,"64.0"
"USW00023009","1950","10.94","0.0","78.5",,"59.9"
"USW00023009","1951","8.72","6.5","76.8",,"57.9"
"USW00023009","1952","6.24","5.0","75.9",,"57.0"
"USW00023009","1953","5.64","3.4","77.3",,"59.9"
"USW00023009","1954","13.05","7.4","78.1",,"59.9"
"USW00023009","1955","9.65","1.4","75.6",,"57.5"
"USW00023009","1956","4.56","12.7","77.1",,"62.2"
"USW00023009","1957","8.46","1.0","74.5",,
"USW00023009","1958","18.65","6.6","73.7",,"57.5"
"USW00023009","1959","9.28","2.3","75.1",,
"USW00023009","1960","14.49","19.0","73.5",,"86.3"
"USW00023009","1961","8.05","11.2","73.7",,
"USW00023009","1962","9.32","3.4","75.1",,
"USW00023009","1963","6.28","9.3","75.1",,
"USW00023009","1964","5.30","8.2","74.2",,"65.5"
"USW00023009","1965","8.19","5.6","74.4",,"59.7"
"USW00023009","1966","9.05","2.6","72.7",,"64.4"
"USW00023009","1973","11.61","15.9","74.0",,
"USW00023009","1974","18.66","2.6","74.2",,
"USW00023009","1975","9.61","6.9","74.3","   197976","88.6"
"USW00023009","1976","11.57","11.9","74.9","   224988","52.8"
"USW00023009","1977","10.96","1.7","78.2","   231924","62.2"
"USW00023009","1978","18.26","14.4","73.8",,"77.0"
"USW00023009","1979","8.56","11.3","73.2","   187200","52.8"
"USW00023009","1980","13.20","27.1","74.2","   159006","52.8"
"USW00023009","1981","24.33","5.3","75.1","   187050","49.4"
"USW00023009","1982","9.05","25.7","73.4",,
"USW00023009","1983","10.04","12.1","73.6",,
